,lv,mv,ward,county,area_type
102,31.56663182,7.742031293,Murarandia,Murang'A,Urban
103,42.50890526,12.45659857,Kipkelion,Kericho,Non-NR
104,43.71797033,9.823471901,Centralkasipul,Homabay,Non-NR
105,45.38804179,12.04684782,Cheboin,Kericho,Non-NR
106,20.70544682,1.224660663,Marketmilimani,Kisumu,Urban
107,43.59734404,480.4375753,Danaba,Wajir,SR
108,83.83979346,89.00861373,Bartabwa,Baringo,SR
109,50.37832963,69.89346769,Adu,Kilifi,SR
110,57.63038863,15.80381323,Kianjai,Meru,Non-NR
111,42.70531234,339.6417961,Batalu,Wajir,SR
112,39.8197833,9.607459138,Kapletundo,Bureti,Non-NR
113,26.60553224,4.874331814,Homabayarujo,Homabay,Urban
114,46.04967994,15.13963418,Mutithi,Kirinyaga,Non-NR
115,48.77084215,9.714151245,Lumakanda,Kakamega,Non-NR
116,38.38939891,6.605928942,Fino,Mandera,Urban
117,62.92983527,20.64564325,Kipipiri,Nyandarua,Non-NR
118,39.44382757,24.58558689,Kasemeni,Kwale,Non-NR
119,38.45399163,9.059685009,Litein,Kericho,Urban
120,70.21080572,138.1407862,Endaumalalani,Kitui,SR
121,19.06674665,0.25234098,Pangani,Nairobi,Urban
122,57.06993597,0,Danyere,Garissa,Non-NR
123,21.74873078,3.956641863,Githunguri,Kiambu,Urban
124,21.74203142,15.25097886,Chewani,Tanariver,Urban
125,38.49564559,11.01898889,Wote,Makueni,Urban
126,69.42695749,109.698405,Churoamaya,Baringo,SR
127,19.74612541,1.017739646,Mumiasnorth,Kakamega,Urban
128,106.5393841,336.3402341,Modogashe,Garissa,SR
129,24.6531225,7.91863541,Hospital,Nairobi,Urban
130,33.56039481,8.49100971,Ithiru,Murang'A,Urban
131,30.2384278,6.349109863,Karumandi,Kirinyaga,Urban
132,51.31407644,12.418708,Eastkabras,Kakamega,Non-NR
133,50.52835799,12.9827049,Likuyani,Kakamega,Non-NR
134,37.78532642,467.9091415,Kapedonapeitom,Turkana,NR
135,33.40136596,9.171575489,Sinoko,Kakamega,Urban
136,49.56308025,29.34586691,Maimahiu,Nakuru,SR
137,39.59339229,12.79119719,Kachieng,Migori,Non-NR
138,45.25707107,180.4152915,Lakezone,Turkana,SR
139,53.71743415,17.92024485,Kanuni,Meru,Non-NR
140,45.23370972,11.57448381,Westkasipul,Homabay,Non-NR
141,18.5449675,0.365122479,Pumwani,Nairobi,Urban
142,45.52390105,9.766591989,Sigowet,Kericho,Non-NR
143,28.33119377,5.707091896,Dekaharia,Garissa,Urban
144,31.28048625,37.61358379,Sericho,Isiolo,NR
145,58.69968867,23.25291623,Kaikorkaaleng,Turkana,Non-NR
146,52.98267658,39.4560387,Melili,Narok,SR
147,43.85329911,6.671921669,Majogebasi,Kisii,Non-NR
148,28.83311635,8.366592781,Kariara,Murang'A,Urban
149,43.11212885,159.7268434,Kargisouthhorr,Marsabit,SR
150,36.52025944,15.50118678,Mwawesa,Kilifi,Urban
151,35.55090986,7.885580593,Nabiswa,Transnzoia,Urban
152,54.54521738,132.7129514,Elwaknorth,Mandera,SR
153,24.19236347,19.58158281,Bura,Tanariver,NR
154,38.16594314,10.3024749,Naromorukiamathaga,Nyeri,Urban
